transaction_amount,transaction_age,customer_account_age,previous_disputes,previous_successful_transactions,previous_refunds,delivery_confirmed,customer_acknowledged,refund_processed,communication_available,evidence_count,merchant_dispute_rate,transaction_frequency,amount_deviation,dispute_reason,payment_method,outcome
27.08,15,881,0,84,1,1,0,0,1,5,0.0229,0.74,-1.51,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
63.18,34,984,0,91,0,1,1,0,0,6,0.0178,2.04,-1.23,GOODS_NOT_RECEIVED,CREDIT_CARD,1
48.44,30,490,0,8,1,1,1,1,1,7,0.0395,0.68,-0.65,GOODS_NOT_RECEIVED,CREDIT_CARD,1
37.31,34,158,0,9,0,1,1,0,1,6,0.0186,1.26,0.2,GOODS_NOT_RECEIVED,CREDIT_CARD,1
69.58,40,65,0,6,2,1,0,0,1,6,0.0145,5.86,1.2,GOODS_NOT_RECEIVED,CREDIT_CARD,1
54.51,37,1097,0,23,0,1,0,0,0,6,0.0145,4.36,-0.77,REFUND_NOT_RECEIVED,CREDIT_CARD,1
138.72,35,1116,1,48,2,1,1,0,0,6,0.0059,4.87,1.18,GOODS_NOT_RECEIVED,DEBIT_CARD,0
8.6,6,76,4,6,6,1,1,0,0,6,0.0277,0.93,-0.03,GOODS_NOT_RECEIVED,CREDIT_CARD,1
196.14,19,1035,3,101,1,1,1,1,1,6,0.0158,1.53,-0.8,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
333.43,6,1004,0,45,0,1,1,0,1,6,0.0165,0.68,0.34,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
40.94,16,768,0,27,1,0,0,0,1,4,0.0153,0.69,1.09,REFUND_NOT_RECEIVED,CREDIT_CARD,0
81.34,22,1198,1,79,0,1,1,0,1,6,0.0081,2.13,0.22,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
54.24,12,377,0,18,0,1,1,0,0,6,0.0162,8.35,1.58,GOODS_NOT_RECEIVED,BANK_TRANSFER,0
49.35,7,1094,0,73,0,1,1,1,1,7,0.0081,1.26,0.11,REFUND_NOT_RECEIVED,DIGITAL_WALLET,0
40.79,39,1010,0,17,0,0,0,0,1,4,0.0227,1.02,0.44,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
31.9,37,836,0,52,1,1,1,0,1,6,0.0037,0.92,-0.59,GOODS_NOT_RECEIVED,CREDIT_CARD,0
302.09,35,830,0,37,0,1,1,0,1,6,0.0239,0.68,-0.31,GOODS_NOT_RECEIVED,DEBIT_CARD,1
115.76,8,638,2,14,4,1,1,0,1,6,0.0065,4.82,-0.14,REFUND_NOT_RECEIVED,CREDIT_CARD,0
49.45,27,723,0,39,0,1,1,0,1,6,0.0056,7.71,0.24,GOODS_NOT_RECEIVED,CREDIT_CARD,1
368.54,41,456,0,37,1,1,0,0,1,6,0.0165,1.12,0.81,GOODS_NOT_RECEIVED,CREDIT_CARD,1
107.26,39,740,0,22,1,1,1,0,1,6,0.0239,3.26,0.56,GOODS_NOT_RECEIVED,CREDIT_CARD,1
7.36,44,815,0,47,2,0,0,0,1,4,0.0182,2.76,-0.85,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,0
88.76,42,556,0,52,0,0,0,0,1,5,0.0153,2.34,-0.3,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
69.57,5,260,0,19,1,1,1,0,1,5,0.0059,1.88,-0.51,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
61.19,7,1091,0,35,0,1,1,1,0,7,0.0044,0.6,-0.34,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
99.31,14,181,0,5,0,1,1,0,1,6,0.0065,0.74,-0.56,GOODS_NOT_RECEIVED,DEBIT_CARD,1
213.22,34,607,0,26,0,0,0,0,1,5,0.0227,1.42,0.1,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
116.34,32,1091,0,103,1,1,0,0,1,5,0.0168,1.67,1.0,GOODS_NOT_RECEIVED,CREDIT_CARD,1
40.43,20,1198,1,79,0,1,1,0,1,5,0.0229,2.19,0.11,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
82.72,8,838,0,67,1,1,1,0,1,6,0.0395,6.88,-0.44,GOODS_NOT_RECEIVED,CREDIT_CARD,1
116.38,8,538,0,52,1,1,0,0,1,6,0.006,1.66,0.0,UNAUTHORIZED_TRANSACTION,DIGITAL_WALLET,1
16.04,27,893,3,45,4,1,1,0,1,6,0.0168,4.14,1.01,GOODS_NOT_AS_DESCRIBED,DIGITAL_WALLET,0
85.81,44,24,0,2,1,0,0,0,0,5,0.0178,1.76,0.22,REFUND_NOT_RECEIVED,CREDIT_CARD,0
173.89,27,191,1,10,0,1,1,0,1,6,0.006,4.42,-1.31,GOODS_NOT_RECEIVED,CREDIT_CARD,1
19.71,19,221,1,16,0,1,0,1,1,6,0.0227,3.58,1.1,DUPLICATE_TRANSACTION,CREDIT_CARD,1
469.77,17,358,0,24,0,1,1,0,1,6,0.0182,1.47,0.68,GOODS_NOT_RECEIVED,CREDIT_CARD,0
118.89,5,458,0,39,0,0,0,0,1,5,0.0071,0.66,-0.08,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,0
39.25,41,950,6,16,3,1,1,0,1,6,0.0182,3.23,0.04,DUPLICATE_TRANSACTION,DIGITAL_WALLET,1
110.83,28,812,0,43,0,1,1,0,1,6,0.0297,3.26,-0.68,REFUND_NOT_RECEIVED,CREDIT_CARD,1
7.32,5,458,0,39,0,1,1,0,0,6,0.0153,1.29,0.98,GOODS_NOT_RECEIVED,DEBIT_CARD,1
29.16,17,933,0,84,2,1,1,0,1,6,0.0168,0.61,0.41,GOODS_NOT_RECEIVED,DEBIT_CARD,1
196.33,42,584,0,16,0,1,1,0,1,6,0.0186,3.52,-0.31,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
121.36,21,1144,0,71,0,1,0,0,1,6,0.006,3.13,-0.36,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
203.26,34,836,0,52,1,1,1,0,0,5,0.006,1.13,-0.09,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
17.34,24,15,0,1,0,1,1,0,1,6,0.0059,3.37,1.1,GOODS_NOT_AS_DESCRIBED,BANK_TRANSFER,1
64.57,9,523,0,42,1,1,1,0,0,6,0.0249,0.77,0.41,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
136.86,9,555,0,28,0,1,0,0,1,5,0.0147,3.61,0.14,UNAUTHORIZED_TRANSACTION,DIGITAL_WALLET,0
536.27,41,270,1,20,1,1,0,0,0,5,0.016,0.87,-0.12,GOODS_NOT_RECEIVED,DEBIT_CARD,1
51.79,20,470,0,29,0,1,1,0,1,6,0.0277,1.54,0.13,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
48.42,25,579,0,19,1,1,0,0,1,6,0.0147,0.97,0.84,REFUND_NOT_RECEIVED,CREDIT_CARD,0
86.72,38,762,0,66,2,1,1,0,0,5,0.0395,2.47,-0.64,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
31.8,10,1189,0,23,1,1,0,0,1,5,0.0165,2.36,-0.39,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
49.42,10,474,0,16,1,0,0,0,0,5,0.0182,1.96,-0.86,GOODS_NOT_RECEIVED,CREDIT_CARD,1
81.15,14,415,0,20,1,1,1,0,0,6,0.0081,5.16,0.48,GOODS_NOT_RECEIVED,CREDIT_CARD,1
31.28,35,421,2,22,2,1,1,0,0,6,0.0182,1.39,-0.68,GOODS_NOT_RECEIVED,DEBIT_CARD,0
57.93,10,402,0,24,0,1,1,0,1,6,0.0057,0.94,0.04,REFUND_NOT_RECEIVED,DEBIT_CARD,1
36.51,7,891,1,38,0,1,0,0,1,6,0.0297,1.24,-0.33,GOODS_NOT_RECEIVED,DIGITAL_WALLET,0
45.33,29,852,0,52,1,1,1,0,1,5,0.0065,1.49,0.2,GOODS_NOT_AS_DESCRIBED,DIGITAL_WALLET,1
29.41,24,1181,0,95,0,0,0,0,0,4,0.0057,1.24,0.45,GOODS_NOT_RECEIVED,CREDIT_CARD,0
116.05,39,763,0,43,0,1,0,1,1,6,0.0081,1.9,-1.9,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
60.24,5,1141,0,58,1,0,0,0,1,5,0.0227,1.04,0.75,GOODS_NOT_AS_DESCRIBED,DEBIT_CARD,1
85.06,35,579,0,19,1,1,0,1,1,5,0.0259,7.0,0.87,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
100.14,18,1199,1,84,4,1,0,0,1,6,0.0239,1.22,-0.9,GOODS_NOT_AS_DESCRIBED,DEBIT_CARD,1
31.61,7,1107,0,60,1,1,1,0,1,6,0.0249,0.95,0.59,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
147.22,20,820,0,30,0,1,1,0,1,6,0.0145,1.61,0.12,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
98.46,18,131,0,9,0,1,1,0,1,5,0.0178,2.32,-0.85,DUPLICATE_TRANSACTION,CREDIT_CARD,1
53.89,7,1035,0,56,0,1,0,0,1,6,0.0229,4.58,1.16,GOODS_NOT_RECEIVED,DEBIT_CARD,1
62.38,10,97,1,3,0,1,1,0,1,6,0.0182,1.02,0.58,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
34.67,13,1080,0,40,0,1,0,0,1,6,0.0158,0.75,-0.03,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
24.7,37,22,0,1,0,1,0,0,1,6,0.0178,0.58,0.82,GOODS_NOT_RECEIVED,BANK_TRANSFER,1
17.07,16,1027,0,99,1,1,1,0,1,6,0.0044,1.0,0.75,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
403.89,6,690,0,46,0,0,0,0,1,4,0.0182,0.93,-0.1,GOODS_NOT_RECEIVED,CREDIT_CARD,0
58.27,7,95,0,7,1,1,1,0,1,6,0.0071,1.05,0.07,GOODS_NOT_RECEIVED,CREDIT_CARD,1
53.68,17,960,0,85,0,1,1,0,1,6,0.0178,2.55,-0.16,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,0
26.19,35,110,0,7,0,1,0,1,1,7,0.006,2.6,0.08,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
67.88,13,891,1,38,0,1,1,0,1,6,0.0059,1.48,-0.11,DUPLICATE_TRANSACTION,CREDIT_CARD,1
75.02,44,360,1,18,0,1,1,0,1,5,0.0182,1.32,0.03,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
134.6,12,732,0,50,1,1,1,0,0,6,0.0182,1.56,-0.44,UNAUTHORIZED_TRANSACTION,BANK_TRANSFER,0
41.29,26,1107,0,60,1,0,0,0,1,5,0.0153,1.8,0.17,REFUND_NOT_RECEIVED,CREDIT_CARD,0
24.42,30,372,0,20,0,0,0,0,1,5,0.0249,2.41,-0.23,GOODS_NOT_RECEIVED,CREDIT_CARD,1
233.61,20,525,0,15,0,1,1,0,1,6,0.0145,5.29,0.3,GOODS_NOT_RECEIVED,DEBIT_CARD,1
179.41,36,943,3,39,4,1,1,0,1,6,0.0178,3.09,0.02,DUPLICATE_TRANSACTION,DIGITAL_WALLET,0
65.03,39,278,0,19,0,1,0,0,1,6,0.0056,1.57,-1.03,DUPLICATE_TRANSACTION,DEBIT_CARD,1
105.32,40,240,0,18,1,1,1,0,0,5,0.0178,1.72,-0.69,GOODS_NOT_RECEIVED,CREDIT_CARD,1
85.15,5,263,4,17,4,1,1,0,1,6,0.0071,2.04,0.48,DUPLICATE_TRANSACTION,DEBIT_CARD,1
122.84,11,1018,0,46,2,1,1,0,0,6,0.0186,2.94,-0.94,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
46.68,44,914,0,48,0,0,0,0,0,4,0.0081,3.83,-0.13,GOODS_NOT_RECEIVED,CREDIT_CARD,0
23.38,15,972,0,68,1,0,0,0,1,4,0.0249,0.59,0.4,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
68.99,15,113,0,9,0,1,0,1,1,7,0.0168,0.6,0.67,DUPLICATE_TRANSACTION,CREDIT_CARD,1
30.97,17,32,0,1,1,1,0,0,1,6,0.0165,3.93,-0.77,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
110.17,8,1160,2,98,1,1,1,0,1,6,0.0037,0.78,-1.82,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
36.49,29,1187,0,94,1,1,1,0,1,5,0.0162,2.88,-0.14,GOODS_NOT_RECEIVED,CREDIT_CARD,1
70.79,7,1130,0,25,0,1,1,0,1,6,0.0153,4.04,-0.01,DUPLICATE_TRANSACTION,BANK_TRANSFER,1
234.07,14,845,0,20,1,1,0,0,1,5,0.0395,0.7,-0.32,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
90.28,9,934,0,92,0,1,0,0,1,5,0.0186,1.36,0.17,GOODS_NOT_RECEIVED,CREDIT_CARD,1
32.12,16,968,0,89,1,1,0,0,1,6,0.006,4.28,0.96,REFUND_NOT_RECEIVED,DEBIT_CARD,1
30.4,38,41,0,2,0,1,1,0,1,5,0.0056,0.62,-0.66,DUPLICATE_TRANSACTION,DIGITAL_WALLET,1
23.75,16,682,0,45,1,1,1,0,1,6,0.0297,0.67,-0.08,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
12.97,42,256,0,24,0,1,0,0,1,6,0.0145,0.71,-1.32,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
15.22,19,923,0,82,1,1,1,0,0,5,0.0168,1.11,0.66,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
148.92,25,724,0,18,1,0,0,0,1,4,0.0057,0.55,0.92,REFUND_NOT_RECEIVED,CREDIT_CARD,0
58.21,8,43,0,3,1,1,1,0,1,6,0.0057,0.78,1.29,UNAUTHORIZED_TRANSACTION,DIGITAL_WALLET,0
93.59,15,1094,0,73,0,1,0,0,1,6,0.0239,3.26,0.28,GOODS_NOT_RECEIVED,DEBIT_CARD,0
35.6,14,1030,0,81,0,1,1,0,1,6,0.0057,2.36,0.09,DUPLICATE_TRANSACTION,DEBIT_CARD,1
23.53,11,555,0,28,0,1,1,0,1,6,0.0259,8.1,0.5,DUPLICATE_TRANSACTION,DEBIT_CARD,1
40.68,13,1167,0,37,1,1,1,0,1,6,0.0162,3.62,-0.79,UNAUTHORIZED_TRANSACTION,DIGITAL_WALLET,1
32.35,22,1089,0,62,0,1,1,0,1,5,0.0162,0.55,0.13,DUPLICATE_TRANSACTION,DEBIT_CARD,1
210.91,31,1158,0,29,0,1,1,1,1,6,0.0395,2.64,0.27,GOODS_NOT_RECEIVED,DEBIT_CARD,1
77.17,32,427,0,16,0,1,1,0,1,6,0.0186,1.2,0.45,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,0
26.98,36,160,0,12,0,1,1,0,1,6,0.0044,2.3,0.74,GOODS_NOT_RECEIVED,CREDIT_CARD,0
88.26,14,762,0,66,2,1,1,0,1,6,0.0182,4.01,-2.03,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
22.4,38,245,0,15,1,1,1,0,1,6,0.0186,0.51,0.75,REFUND_NOT_RECEIVED,CREDIT_CARD,1
109.82,9,1053,0,69,1,1,1,0,1,6,0.0395,2.28,-1.65,REFUND_NOT_RECEIVED,CREDIT_CARD,0
85.56,24,1091,0,103,1,1,0,0,1,5,0.0297,1.17,-0.81,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
46.52,34,723,2,66,0,1,1,0,1,5,0.016,7.92,-1.09,UNAUTHORIZED_TRANSACTION,DIGITAL_WALLET,1
21.58,37,987,0,27,0,1,1,1,1,7,0.0081,2.04,1.54,DUPLICATE_TRANSACTION,DEBIT_CARD,1
5.0,23,891,1,38,0,1,1,0,1,6,0.0162,0.67,-0.6,GOODS_NOT_AS_DESCRIBED,DIGITAL_WALLET,1
121.01,6,427,0,16,0,1,1,0,1,6,0.006,1.59,0.15,GOODS_NOT_RECEIVED,DEBIT_CARD,1
59.41,22,1141,0,51,0,1,0,0,1,6,0.0227,0.99,-0.29,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
43.84,18,660,0,29,1,1,1,0,1,6,0.0044,4.03,-1.92,REFUND_NOT_RECEIVED,CREDIT_CARD,1
81.93,9,253,0,12,0,1,1,0,1,6,0.0158,1.53,0.23,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
109.84,22,330,2,28,2,1,0,0,1,6,0.0229,0.87,0.18,GOODS_NOT_RECEIVED,DEBIT_CARD,1
42.8,19,740,0,22,1,1,1,0,0,6,0.0044,1.78,0.03,GOODS_NOT_AS_DESCRIBED,DEBIT_CARD,1
79.86,27,415,0,20,1,1,1,0,1,6,0.0081,0.88,-1.23,DUPLICATE_TRANSACTION,DIGITAL_WALLET,1
17.77,8,417,0,27,0,1,1,0,1,6,0.006,1.4,-0.38,GOODS_NOT_RECEIVED,CREDIT_CARD,1
122.17,38,524,0,31,0,1,1,0,1,6,0.0081,2.22,0.36,GOODS_NOT_RECEIVED,CREDIT_CARD,1
239.75,28,806,0,79,0,1,1,0,1,6,0.0277,0.62,-0.21,DUPLICATE_TRANSACTION,CREDIT_CARD,1
137.64,16,1108,0,104,2,1,1,0,0,6,0.0056,2.74,-0.3,GOODS_NOT_RECEIVED,CREDIT_CARD,1
44.92,33,471,0,43,1,1,1,0,1,6,0.0297,2.02,-0.24,DUPLICATE_TRANSACTION,CREDIT_CARD,1
27.92,10,411,0,18,1,1,1,0,1,6,0.0227,2.42,-1.72,GOODS_NOT_RECEIVED,CREDIT_CARD,0
14.73,28,987,0,27,0,1,1,0,1,6,0.0239,1.0,-1.32,GOODS_NOT_RECEIVED,CREDIT_CARD,0
297.58,26,639,1,55,0,1,0,0,1,6,0.0057,0.57,1.06,DUPLICATE_TRANSACTION,CREDIT_CARD,1
14.9,21,32,0,1,1,1,0,0,1,6,0.0277,0.52,0.08,GOODS_NOT_RECEIVED,CREDIT_CARD,1
39.59,36,421,2,22,2,1,1,0,1,6,0.0158,1.1,0.17,GOODS_NOT_RECEIVED,CREDIT_CARD,0
77.77,29,895,0,44,1,0,0,0,1,5,0.0071,1.49,0.57,DUPLICATE_TRANSACTION,DEBIT_CARD,1
34.96,30,1006,0,55,1,1,0,0,0,6,0.0277,3.61,0.33,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
26.64,31,456,0,40,1,1,0,0,1,6,0.016,0.67,0.08,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
61.03,11,204,0,12,0,1,1,0,1,6,0.0057,2.04,0.16,GOODS_NOT_AS_DESCRIBED,BANK_TRANSFER,1
87.07,39,1177,0,108,1,1,0,0,1,5,0.0044,1.62,-0.57,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
159.51,38,384,0,32,0,1,1,1,1,7,0.0239,3.8,-1.21,DUPLICATE_TRANSACTION,DIGITAL_WALLET,1
15.23,31,810,0,28,2,1,1,0,1,6,0.0158,2.38,1.34,GOODS_NOT_RECEIVED,DEBIT_CARD,1
448.84,12,934,0,92,0,0,0,1,1,6,0.0186,0.76,-0.77,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
115.89,39,775,0,70,0,1,1,0,1,6,0.0186,1.73,-0.05,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,0
435.49,22,106,0,6,0,0,0,0,1,5,0.0162,1.13,0.42,GOODS_NOT_RECEIVED,DEBIT_CARD,0
40.79,27,852,0,52,1,1,1,0,1,6,0.0162,1.67,0.95,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
51.33,34,548,0,28,0,0,0,0,0,5,0.0071,0.62,-2.3,GOODS_NOT_RECEIVED,CREDIT_CARD,0
25.46,20,699,1,60,3,1,1,1,0,6,0.0178,2.54,-0.83,GOODS_NOT_RECEIVED,CREDIT_CARD,1
147.57,35,48,0,3,0,0,0,0,0,4,0.0158,0.77,2.15,GOODS_NOT_RECEIVED,CREDIT_CARD,0
20.47,42,490,0,8,1,1,0,0,0,6,0.0044,0.79,-0.36,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
86.05,38,1085,0,59,0,1,1,0,0,6,0.0153,5.72,-0.12,GOODS_NOT_RECEIVED,DEBIT_CARD,1
107.36,5,607,0,26,0,1,0,0,1,5,0.0168,1.0,0.87,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
161.01,13,165,0,10,0,1,1,0,1,6,0.0153,0.85,-0.46,GOODS_NOT_RECEIVED,DIGITAL_WALLET,1
23.68,40,48,0,3,0,1,1,0,1,5,0.0065,0.58,-1.15,GOODS_NOT_AS_DESCRIBED,DEBIT_CARD,1
34.05,8,147,0,9,0,0,0,0,1,4,0.0037,1.72,1.17,GOODS_NOT_RECEIVED,CREDIT_CARD,0
52.52,24,885,0,72,2,1,1,0,1,5,0.0239,5.13,-1.24,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
82.72,21,260,0,19,1,1,0,1,1,7,0.0071,1.74,0.22,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
194.33,14,1085,0,59,0,1,1,0,1,6,0.0153,0.78,1.25,GOODS_NOT_RECEIVED,DEBIT_CARD,1
158.19,44,123,0,4,1,1,0,0,0,5,0.0158,2.24,-0.41,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,0
103.81,17,650,1,62,0,1,1,0,1,6,0.0059,3.34,0.27,REFUND_NOT_RECEIVED,DEBIT_CARD,0
141.5,42,471,0,43,1,1,0,0,1,6,0.0165,1.59,0.37,GOODS_NOT_RECEIVED,DIGITAL_WALLET,0
67.64,20,433,0,31,0,1,1,0,1,6,0.0182,2.9,0.31,GOODS_NOT_RECEIVED,DEBIT_CARD,1
122.83,43,261,1,11,0,0,0,0,0,5,0.0153,1.22,0.57,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
185.63,37,749,0,59,0,1,0,0,0,6,0.0277,0.52,0.53,DUPLICATE_TRANSACTION,DEBIT_CARD,1
27.55,31,899,0,79,0,1,1,0,0,6,0.0147,0.62,-0.95,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
27.32,41,681,1,20,0,1,1,0,1,6,0.0145,3.14,-0.12,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
63.29,20,1141,0,51,0,1,1,0,1,6,0.0044,9.16,-0.63,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
82.16,19,982,0,71,0,1,0,1,1,7,0.0145,0.67,0.11,DUPLICATE_TRANSACTION,DIGITAL_WALLET,1
120.17,20,899,0,79,0,1,1,0,1,6,0.0059,2.66,-0.33,GOODS_NOT_RECEIVED,CREDIT_CARD,1
97.06,10,113,1,9,5,1,1,0,1,6,0.0056,1.28,-0.43,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
22.7,33,504,0,11,0,1,1,0,1,6,0.0229,4.53,-0.18,DUPLICATE_TRANSACTION,CREDIT_CARD,0
178.4,44,548,0,28,0,0,0,0,1,4,0.0162,4.38,-0.35,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
25.29,21,927,1,66,1,1,1,0,0,6,0.0044,0.54,-0.55,GOODS_NOT_RECEIVED,CREDIT_CARD,0
82.53,44,1198,0,57,1,1,0,0,1,6,0.0147,3.36,-1.29,DUPLICATE_TRANSACTION,CREDIT_CARD,1
40.69,11,511,3,11,9,1,1,0,1,5,0.0277,1.53,-1.48,GOODS_NOT_RECEIVED,CREDIT_CARD,1
21.96,38,691,0,25,0,1,0,0,1,5,0.0037,0.81,0.64,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
69.02,40,469,0,25,0,0,0,0,0,5,0.0037,0.71,1.44,GOODS_NOT_RECEIVED,CREDIT_CARD,0
40.51,30,539,1,20,0,1,1,1,1,7,0.0081,2.35,0.51,DUPLICATE_TRANSACTION,CREDIT_CARD,0
65.54,30,303,0,16,0,1,1,0,1,6,0.0297,1.37,0.15,GOODS_NOT_RECEIVED,CREDIT_CARD,1
49.6,15,638,0,26,1,1,1,0,1,6,0.0145,0.58,0.34,REFUND_NOT_RECEIVED,DIGITAL_WALLET,1
22.07,29,471,0,43,1,0,0,0,1,3,0.0249,2.3,-0.45,GOODS_NOT_RECEIVED,DEBIT_CARD,0
98.58,40,456,0,37,1,0,0,0,1,5,0.0239,2.5,-0.14,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,1
165.12,6,202,0,18,0,1,0,0,0,6,0.0178,2.78,0.83,GOODS_NOT_RECEIVED,CREDIT_CARD,0
57.8,32,519,0,13,1,1,0,0,1,6,0.0037,1.03,0.27,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
